series title,series number,series dates,subseries number,subseries title,subseries dates,file id,file title,file dates,extent,physdesc,internal only,restrictions,conditions governing access,scopecontent,note1,note2,instance type,container 1 type,container 1 number,container 2 type,container 2 number,container 3 type,container 3 number,geogname,geogname_source,corpname,corpname_source,famname,famname_source,name,name_source,persname,persname_source,subject,subject_source
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 5 May Day Message (by WR) May 1 1927,1927,,,,,,,,,Microform,Reel,1,Box,I 2,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 6 Childhood Mementos 1913 1916-1924,"1913, 1916-1924",,,,,,,,,Microform,Reel,1,Box,I 2,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 7 Christmas Card Wood Blocks (Lincoln School eighth-ninth grade) 1926?,1926,,,,,,,,,Microform,Reel,1,Box,I 2,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 8 Newspaper Clippings: Death of William Rockefeller June 1922,1922,,,,,,,,,Microform,Reel,1,Box,I 2,Folder,8,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 1 File WR: 1921-1930 Rockefeller Winthrop (Letters to J.D.R Jr. and A.A.R),1921-1930 ,,,,,,,,,Microform,Reel,1,Box,I 3,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 2 File WR: 1920-1930 A-J Personal Correspondence,1920-1930 ,,,,,,,,,Microform,Reel,1,Box,I 3,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 3 File WR: 1920-1930 K-W Personal Correspondence,1920-1930 ,,,,,,,,,Microform,Reel,1,Box,I 3,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 4 File WR: 1926-1930 Trips: Western Trip 1926 Burgundy Trip 1927 Great Lakes Trip,1926-1930,,,,,,,,,Microform,Reel,1,Box,I 3,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 1 WR Subject File: 1938-1940 Air Youth of America File,1938-1940 ,,,,,,,,,Microform,Reel,2,Box,I 4,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 2 WR: 1940 Bayway Community Center,1940 ,,,,,,,,,Microform,Reel,2,Box,I 4,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 3 WR Subject File: 1938 - Junior Birdmen,1938,,,,,,,,,Microform,Reel,2,Box,I 4,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 4 WR Subject File: 1936-1940 - Verta Broussard,1936-1940,,,,,,,,,Microform,Reel,2,Box,I 4,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 5 File WR: 1932-1940 Camp Winona (Denmark Maine),1932-1940 ,,,,,,,,,Microform,Reel,2,Box,I 4,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 6 File WR: 1938-1940 Contributions,1938-1940 ,,,,,,,,,Microform,Reel,2,Box,I 4,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 7 WR Subject File: 1937-1940 Crank Letters,1937-1940 ,,,,,,,,,Microform,Reel,2,Box,I 4,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,"File 1 WR Subject File: 1937-1940 Fan Letters (more like ""Lonely Hearts"")",1937-1940 ,,,,,,,,,Microform,Reel,2,Box,I 5,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 2 WR Subject File: Greater New York Fund 1938-1940,1938-1940,,,,,,,,,Microform,Reel,2,Box,I 5,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 3 File WR: 1940 Hartford Seminary Foundation,1940 ,,,,,,,,,Microform,Reel,2,Box,I 5,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 4 File WR: 1936-1940 Houston (and Houston Negro Hospital),1936-1940 ,,,,,,,,,Microform,Reel,2,Box,I 5,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 5 WR Subject File: 1934-1938 Humble Oil Company (Oil Production Studies by WR 1935-1937),1934-1938,,,,,,,,,Microform,Reel,2,Box,I 5,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 1 File WR: 1938 Industrial Relations Counselors Inc.,1938 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 2 File WR: 1931-1940 Loomis,1931-1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 3 File WR: 1933 1936 19381940 Memberships Awards etc.,"1933, 1936, 1938, 1940 ",,,,,,,,,Microform,Reel,3,Box,I 6,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 4 File WR: 1940 (Plattsburg) Military Training Camp,1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 5 File WR: 1940 National Defense,1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 6 File WR: 1940 National Recreation Association,1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 7 File WR: 1938-1940 National Urban League (and N.Y.),1938-1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 8 File WR: 1934 1937-1940 New York Office (Gumbel Keebler),"1934, 1937-1940 ",,,,,,,,,Microform,Reel,3,Box,I 6,Folder,8,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 9 File WR: 1939 1940 Politics,"1939, 1940 ",,,,,,,,,Microform,Reel,3,Box,I 6,Folder,9,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 10 File WR: 1937 1940 Requests (Requests from strangers for personal help),"1937, 1940 ",,,,,,,,,Microform,Reel,3,Box,I 6,Folder,10,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 11 File WR: 1940 Rockefeller Associates (and RBF),1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,11,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 12 File WR: 1940 Rockefeller Brothers (Partnership),1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,12,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 13 WR Subject File: 1940 Rockefeller Center,1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,13,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 14 File WR: 1931-1934-1937 Rockefeller Winthrop (Letters to J.D.R. Jr. and A.A.R.),1931-1934-1937 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,14,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 15 File WR: 1935-1940 (Irby) Rockefeller Winthrop - Personal,1935-1940 ,,,,,,,,,Microform,Reel,3,Box,I 6,Folder,15,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 1 WR Subject File: 1939 Socony,1939 ,,,,,,,,,Microform,Reel,3,Box,I 7,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 2 WR Subject File: 1937-1940 Speeches,1937-1940 ,,,,,,,,,Microform,Reel,3,Box,I 7,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 3 WR Subject File: 1937-1940 Trips (To Egypt Poland Roumania Venezuela Mid-Eastern Countries),1937-1940 ,,,,,,,,,Microform,Reel,3,Box,I 7,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 4 WR: 1939 United Jewish Appeal,1939 ,,,,,,,,,Microform,Reel,3,Box,I 7,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 5 WR Subject File: 1931-1940 Yale,1931-1940 ,,,,,,,,,Microform,Reel,3,Box,I 7,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 1 WR: 1931-1933 Yale University - notes etc.,1931-1933 ,,,,,,,,,Microform,Reel,3,Box,I 8,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 2 WR Subject File: 1938-1940 Young Men's Board of Trade (Key Award to WR),1938-1940 ,,,,,,,,,Microform,Reel,4,Box,I 8,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 1 WR: Personal Letters 1931-1940 A-B,1931-1940 ,,,,,,,,,Microform,Reel,4,Box,I 9,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 2 WR: Personal Letters 1931-1940 C-H,1931-1940 ,,,,,,,,,Microform,Reel,4,Box,I 9,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 3 WR: Personal Letters 1931-1940 I-R,1931-1940 ,,,,,,,,,Microform,Reel,4,Box,I 9,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.2,General Correspondence,1931-1940,,File 4 WR: Personal Letters 1931-1940 S-W,1931-1940 ,,,,,,,,,Microform,Reel,4,Box,I 9,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 1 WR Subject File: 1941-1943 Air Youth of America,1941-1943 ,,,,,,,,,Microform,Reel,4,Box,I 10,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 2 WR: 1941-1946 (Irby) Army History (WR),1941-1946 ,,,,,,,,,Microform,Reel,4,Box,I 10,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 3 WR Subject File: 1941-1945 1946 Bayway Community Center,"1941-1945, 1946 ",,,,,,,,,Microform,Reel,4,Box,I 10,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 4 WR Subject File: 1941-1946 Christmas Cards,1941-1946 ,,,,,,,,,Microform,Reel,4,Box,I 10,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 5 WR: 1941-1946 Colonial Williamsburg,1941-1946 ,,,,,,,,,Microform,Reel,4,Box,I 10,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 6 WR: 1941-1943 Contributions,1941-1943 ,,,,,,,,,Microform,Reel,4,Box,I 10,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 7 WR Subject File: 1941-1946 Crank File,1941-1946 ,,,,,,,,,Microform,Reel,4,Box,I 10,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 8 WR Subject File: 1941-1946 Fan Letters - Service Men,1941-1946 ,,,,,,,,,Microform,Reel,4,Box,I 10,Folder,8,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,"File 9 WR: 1942-1946 Fan Letters (good many ""Lonely Hearts"")",1942-1946 ,,,,,,,,,Microform,Reel,4,Box,I 10,Folder,9,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 1 WR Subject File: 1941 Fan Letters (#3 of 3),1941 ,,,,,,,,,Microform,Reel,5,Box,I 11,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 2 WR: 1941-1946 (Irby) Financial and General Matters,1941-1946 ,,,,,,,,,Microform,Reel,5,Box,I 11,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 3 WR Subject File: 1941-1945 Greater New York Fund,1941-1945 ,,,,,,,,,Microform,Reel,5,Box,I 11,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 4 WR Subject File: 1941 Haskell Clinic,1941 ,,,,,,,,,Microform,Reel,5,Box,I 11,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 5 WR: 1941-1946 Loomis,1941-1946 ,,,,,,,,,Microform,Reel,5,Box,I 11,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 6 WR: 1941-1943 1946 Memberships etc.,"1941-1943, 1946 ",,,,,,,,,Microform,Reel,5,Box,I 11,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 7 WR: 1941-1943 1946 National Urban League,"1941-1943, 1946 ",,,,,,,,,Microform,Reel,5,Box,I 11,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 8 WR Subject File: 1942-1946 New York Office,1942-1946 ,,,,,,,,,Microform,Reel,5,Box,I 11,Folder,8,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 9 WR: 1946 New York University - Bellevue Medical Center 1941 Pocantico Hills - Tarrytown N.Y.,"1946, 1941 ",,,,,,,,,Microform,Reel,5,Box,I 11,Folder,9,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 10 WR Subject File: 1941-1946 Requests (Personal),1941-1946 ,,,,,,,,,Microform,Reel,5,Box,I 11,Folder,10,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 11 WR: 1941 1945 1946 (Irby) Rockefeller Brothers - Agreement 1941 Meetings WR: 1946 (Irby) Rockefeller Brothers Incorporated,"1941, 1945, 1946",,,,,,,,,Microform,Reel,5,Box,I 11,Folder,11,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 1 WR: 1946 (Irby) Rockefeller Brothers Company,1946 ,,,,,,,,,Microform,Reel,5,Box,I 12,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 3 WR Subject File: 1941-1944 Rockefeller Brothers Fund Inc. - General and Certificates of Incorporation,1941-1944 ,,,,,,,,,Microform,Reel,5,Box,I 12,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 4 WR Subject File: 1941-1946 Rockefeller Brothers Fund Inc. - Reports,1941-1946 ,,,,,,,,,Microform,Reel,5,Box,I 12,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 5 WR: 1941-1946 (42-45) Rockefeller Winthrop - Letters to and from J.D.R. Jr. and A.A.R.,1941-1946 ,,,,,,,,,Microform,Reel,5,Box,I 12,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 6 WR: 1941-1946 (Irby) Rockefeller Winthrop - Personal,1941-1946 ,,,,,,,,,Microform,Reel,5,Box,I 12,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 7 WR: 1943-1946 Seventy-Seventh Division,1943-1946 ,,,,,,,,,Microform,Reel,5,Box,I 12,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 8 WR: 1945 1946 (Irby) Seventy-Seventh Division (Breslin Hotel),"1945, 1946 ",,,,,,,,,Microform,Reel,5,Box,I 12,Folder,8,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 9 WR Subject File: 1941-1946 Socony,1941-1946 ,,,,,,,,,Microform,Reel,5,Box,I 12,Folder,9,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 1 WR: 1946 Speeches,1946 ,,,,,,,,,Microform,Reel,6,Box,I 13,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 2 WR: 1946 (Irby) State (N.Y.) Commission against Discrimination,1946 ,,,,,,,,,Microform,Reel,6,Box,I 13,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 3 WR Personal: 1941-1946 Sylvan (Bill Lucille Hildar Joe),1941-1946 ,,,,,,,,,Microform,Reel,6,Box,I 13,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 4 WR: (Irby) United China Relief,,,,,,,,,,Microform,Reel,6,Box,I 13,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 5 WR: 1942 1945 1946 (Irby) Universal Military Training,"1942, 1945, 1946 ",,,,,,,,,Microform,Reel,6,Box,I 13,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 6 WR: 1944-1946 Veterans - General (Irby),1944-1946 ,,,,,,,,,Microform,Reel,6,Box,I 13,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 7 WR: 1946 (Irby) Veterans - N.Y. City Center (Rosenberg Davis),1946 ,,,,,,,,,Microform,Reel,6,Box,I 13,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 8 WR: 1946 (Irby) Veterans Re-Adjustment (Report by WR),1946 ,,,,,,,,,Microform,Reel,6,Box,I 13,Folder,8,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 1 WR: 1942-1946 (Irby) War Stories of Interest,1942-1946 ,,,,,,,,,Microform,Reel,6,Box,I 14,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 2 WR Subject File: 1944-1946 Yale,1944-1946 ,,,,,,,,,Microform,Reel,6,Box,I 14,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 3 WR Personal: 1941-1946 A-B,1941-1946 ,,,,,,,,,Microform,Reel,6,Box,I 14,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 4 WR Personal: 1943-1946 Brian (Mary),1943-1946 ,,,,,,,,,Microform,Reel,6,Box,I 14,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 5 WR Personal: 1941-1946 Broussard (Verta),1941-1946 ,,,,,,,,,Microform,Reel,6,Box,I 14,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 6 WR Personal: 1941-1946 C-D,1941-1946 ,,,,,,,,,Microform,Reel,6,Box,I 14,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 7 WR Personal: 1941-1946 E-G,1941-1946 ,,,,,,,,,Microform,Reel,6,Box,I 14,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 1 WR Personal: 1941-1946 Gaxton (Bill and Madeline),1941-1946 ,,,,,,,,,Microform,Reel,7,Box,I 15,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 2 WR Personal: 1941-1946 H-J,1941-1946 ,,,,,,,,,Microform,Reel,7,Box,I 15,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 3 WR Personal: 1941-1946 K-L,1941-1946 ,,,,,,,,,Microform,Reel,7,Box,I 15,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 4 WR Personal: 1941-1946 M-O,1941-1946 ,,,,,,,,,Microform,Reel,7,Box,I 15,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 5 WR Personal: 1945-1946 Marlowe (Helen),1945-1946 ,,,,,,,,,Microform,Reel,7,Box,I 15,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 1 WR Personal: 1941-1946 P-R (Correspondence),1941-1946 ,,,,,,,,,Microform,Reel,7,Box,I 16,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 2 WR Personal: 1941-1946 Parten (Mo),1941-1946 ,,,,,,,,,Microform,Reel,7,Box,I 16,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 3 WR Personal: 1942-1946 Perry Ellen,1942-1946 ,,,,,,,,,Microform,Reel,7,Box,I 16,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 4 WR Personal: 1942-1945 Rovensky (Joe),1942-1945 ,,,,,,,,,Microform,Reel,7,Box,I 16,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 5 WR Personal: 1941-1946 Correspondence,1941-1946,,,,,,,,,Microform,Reel,7,Box,I 16,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 6 WR Personal: 1941-1946 T-Z,1941-1946 ,,,,,,,,,Microform,Reel,7,Box,I 16,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 7 WR Personal: 1941-1946 Wibault Marie-Rose,1941-1946 ,,,,,,,,,Microform,Reel,7,Box,I 16,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 8 WR Personal: 1941-1945 Wiess (Harry and Olga),1941-1945 ,,,,,,,,,Microform,Reel,7,Box,I 16,Folder,8,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 1 Letters to Marcelle Baum 1943-1954,1943-1954,,,,,,,,,Microform,Reel,8,Box,I 17,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 2 Letters to Marie Galloway Lewis 1941-1946,1941-1946,,,,,,,,,Microform,Reel,8,Box,I 17,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.3,General Correspondence,1941-1946,,File 3 Letters to Marie Rose Wibault 1941-1946,1941-1946,,,,,,,,,Microform,Reel,8,Box,I 17,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 1 Adler (General) Julius Ochs 1947-1952,1947-1952,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 2 Airplane Crash 1948,1948,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 3 Ambrose (Dr.) M. Stewart 1948-1950,1948-1950,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 4 American Middle East Relief Inc. 1947-1952,1947-1952,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 5 Applications for Employment 1951-1952,1951-1952,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 6 Arabian American Oil Company (ARAMCO): Saudi Arabian Oil Concession 1947,1947,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 7 Armed Forces - Army Advisory Committee 1947-1951,1947-1951,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 8 Army U.S.: General 1949-1951,1949-1951,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,8,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 9a Bayway Community Center 1947-1952 (file 1 of 2),1947-1952 ,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,9a,,,,,,,,,,,,
Personal papers,I,,I.4,General Correspondence,1947-1952,,File 9b Bayway Community Center 1947-1952 (file 2 of 2),1947-1952 ,,,,,,,,,Microform,Reel,8,Box,I 28,Folder,9b,,,,,,,,,,,,
