series number,series title,series dates,subseries number,subseries title,subseries dates,file id,file title,file dates,extent,physdesc,internal only,restrictions,conditions governing access,scopecontent,note1,note2,instance type,container 1 type,container 1 number,container 2 type,container 2 number,container 3 type,container 3 number,geogname,geogname_source,corpname,corpname_source,famname,famname_source,name,name_source,persname,persname_source,subject,subject_source
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Grandma�s Birthday Cross-Word Puzzle,1925,,,,,,A birthday cross-word puzzle (1925) and cover letter to puzzle by Mary Lovejoy Fernald.,,,Mixed materials,Box,1,Folder,8,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,A Mother Goose Carnival Arranged By Mary Lovejoy Fernald,,,,,,,A mother goose carnival arranged by Mary Lovejoy Fernald.,,,Mixed materials,Box,1,Folder,9,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,All Maine Women Speech,,,,,,,Speech delivered by Mary Lovejoy Fernald to All Maine Women.,,,Mixed materials,Box,1,Folder,10a,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Typescripts Of M.L.F.,1983,,,,,,Typescript of charades composed by Fernald.,,,Mixed materials,Box,1,Folder,10b,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Are We Progressing?,1910-1912,,,,,,Notepad containing notes by Fernald on the progress of a range of national and international issues.,,,Mixed materials,Box,1,Folder,11,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Sermons,,,,,,,Notepad containing cuttings from sermons.,,,Mixed materials,Box,1,Folder,12,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Power Of The Sunbeam,,,,,,,An essay and notes on the power of the sunbeam.,,,Mixed materials,Box,1,Folder,13,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Peace: Notes And Ideas,,,,,,,Notes and ideas on the power of peace.,,,Mixed materials,Box,1,Folder,14,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Forestry Notes,,,,,,,Notes and ideas on forestry.,,,Mixed materials,Box,1,Folder,15,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,The Experimental Study Of Animal Intelligence,,,,,,,Notes and ideas on animal intelligence.,,,Mixed materials,Box,1,Folder,16,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Biographical Material,1908-1982,,,,,,"Biographical information on Fernald, including: note regarding Fernald retirement from active teaching (1908), newspaper clippings regarding Fernald�s death (1916), plot details, manuscript on Fernald from �History of Penobscot County, 1882� (1956), and article on Fernald in The Weekly Journal (1982). ",,,Mixed materials,Box,1,Folder,17,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Children Of,1953,,,,,,Letter listing Fernald�s children.,,,Mixed materials,Box,1,Folder,18,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,The Crisis In England,,,,,,,An essay on the causes of unrest among the middle and poorer classes of England.,,,Mixed materials,Box,1,Folder,19,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,History Of The University,,,,,,,Handwritten and typescript manuscript notes on the history of the University of Maine.,,,Mixed materials,Box,1,Folder,20,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,"Fernald�s History, Manuscript Of The University",,,,,,,Handwritten and typescript manuscript notes on the history of the University of Maine.,,,Mixed materials,Box,1,Folder,21,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Fernald�s History - Manuscript Of The University,,,,,,,Handwritten and typescript manuscript notes on the history of the University of Maine.,,,Mixed materials,Box,1,Folder,22,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Maine State College: Faculty Salaries And College Budget,1880,,,,,,Memorandum containing faculty salaries and college budget for the College.,,,Mixed materials,Box,1,Folder,23,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Church Pew Warranty Deed,1886,,,,,,Warranty Deed to Fernald for a church pew in Orono.,,,Mixed materials,Box,1,Folder,24,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Appointment To Presidency Of Maine State College,1879,,,,,,Facsimile of State College of Agriculture and the Mechanic Arts Board of Trustees motion to recommend the election of Fernald to president.,,,Mixed materials,Box,1,Folder,25,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Addresses: Baccalaureate,,,,,,,Addresses delivered by Fernald baccalaureate.,,,Mixed materials,Box,1,Folder,26,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Addresses: Baccalaureate,,,,,,,Addresses delivered by Fernald baccalaureate.,,,Mixed materials,Box,1,Folder,27,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Addresses: Baccalaureate,,,,,,,Addresses delivered by Fernald baccalaureate.,,,Mixed materials,Box,1,Folder,28,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Baccalaureate Sermons � Clippings,,,,,,,Newspaper clippings on addresses delivered by Fernald baccalaureate. ,,,Mixed materials,Box,1,Folder,29,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Addresses: Commencement Dinner,,,,,,,Addresses delivered by Fernald at commencement. ,,,Mixed materials,Box,1,Folder,30,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Addresses: G.A.R. Post #234 Post #154,,,,,,,Addresses delivered by Fernald baccalaureate at G.A.R. Post #234 Post #154.,,,Mixed materials,Box,1,Folder,31,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Addresses: Part Of Speech Summarizing �History Of Maine State College�,,,,,,,Part of a speech by Fernald summarizing �History of Maine State College�.,,,Mixed materials,Box,1,Folder,32,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,"Addresses: Levant, ME Centennial",,,,,,,"Addresses delivered by Fernald for Levant, Maine Centennial Celebration.",,,Mixed materials,Box,1,Folder,33,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Addresses: At Time Of Retirement,,,,,,,Address at time of retirement from The Maine State College. ,,,Mixed materials,Box,1,Folder,34,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Correspondence, 1873-1885,,,,,,Various miscellaneous correspondence.,,,Mixed materials,Box,2,Folder,36,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Correspondence: Retirement Letter,1892,,,,,,Fernald�s retirement letter to the University of Maine trustees.,,,Mixed materials,Box,2,Folder,37,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Speech Of Acceptance,,,,,,,Fernald�s acceptance speech.,,,Mixed materials,Box,2,Folder,38,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Maine State College Business Records,1873-1897,,,,,,Various miscellaneous Maine State College business records.,,,Mixed materials,Box,2,Folder,39,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Tributes To M.C. Fernald,1916,,,,,,Tributes to Fernald following his death.,,,Mixed materials,Box,2,Folder,40,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Publications,1926-1931,,,,,,Publications by M.L. Fernald on the subjects related to herbs and botanicals.,,,Mixed materials,Box,2,Folder,41,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Acting President 7/15/1968 � 12/31/71,,,,,,,"Board of Trustee resolutions and correspondence: congratulating Fernald�s wife Mary on her 80th anniversary (1925), remitted tuition fee for Fernald�s grandson John A. Pierce (1932), salary (1901-1910), appointment as president (1879), resignation and replacement (1892-1893), details of the naming of Fernald Hall chemical laboratory in honor of Fernald (1895), employment as Professor of Mathematics (1896), and retirement (1908). Also, extracts �From History of the University of Maine� by Fernald (1916), biographical profiles, correspondence regarding memorial to Fernald in �Maine Bulletin� (1916), details of portraits of Fernald, staff salary data (1893), honorary degree citation (1908), retiring allowance from the Carnegie Foundation (1907-1909), honorary degree (1915), death, pension, and memorial (1916-1918), and newspaper clippings (1965).",,,Mixed materials,Box,2,Folder,42,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,History Of The University Of Maine 1915-16,1915-1917,,,,,,"Various miscellaneous records regarding Fernald�s publication �History of the University of Maine�, including: sales (1917), report by Robert J. Aley on the publication (1916), drafts of the publication with edits, printing quotes (1915-1916), payments for purchased copies (1916), and printing requirements (1915-1916) submitted to W.B. Conkey Company.",,,Mixed materials,Box,2,Folder,43,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Childs Arithmetical Work,1810-1820,,,,,,Childs arithmetical work done 1810-1820 and loaned by Mrs. Fernald and sample of quill of penmanship.,,,Mixed materials,Box,2,Folder,44,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Ava Chadbourne�s Articles About M.C. Fernald,1956,,,,,,"Two copies of a manuscript by Dr. Ava. H. Chadbourne on Merritt Caldwell Fernald from �History of Penobscot, 1882�.",,,Mixed materials,Box,2,Folder,45,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Summary Of Meteorological Observations Taken At Maine State College,1869-1891,,,,,,"Summary of meteorological observations taken at Maine State College of Agriculture and the Mechanic Arts taken by Fernald, versions 1-3.",,,Mixed materials,Box,2,Folder,46,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Letters From George Fernald To Mary Lovejoy And Merritt C.,1908-1916,,,,,,Letters from George Fernald to Mary Lovejoy and Merritt C. describing his tour of duty in the Foreign Service across Europe.,,,Mixed materials,Box,2,Folder,47,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Family Correspondence,1893-1929,,,,,,Fernald family correspondence on a range of subjects.,,,Mixed materials,Box,2,Folder,48,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,"Residence Of M.C. Fernald Orono, Maine",1929,,,,,,Photographs and negatives of Fernald�s Orono home and a residence inventory by Mrs. M.C. Fernald.,,,Mixed materials,Box,2,Folder,49,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Family Genealogy,1975,,,,,,Genealogical research on Fernald�s family.,,,Mixed materials,Box,2,Folder,50,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Scientific Observation On Mt. Katahdin,1874-1875,,,,,,Scientific observations on Mt. Katahdin by Fernanld.,,,Mixed materials,Box,2,Folder,51,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Paper Concerning Publications Of The History Of Maine State College,1916-1917,,,,,,"Papers concerning the publication of the History of Maine State College by Fernald, including: receipts (1916-1917), and report by Robert J. Aley on the publication (1916).",,,Mixed materials,Box,2,Folder,52,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Plans For Residence,1905,,,,,,Plans for Orono residence of Fernald (1905).,,,Mixed materials,Box,2,Folder,53,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,In Memoriam,,,,,,,"�In Memoriam Dr. Merritt Caldwell Fernald� containing letters of appreciation to Fernald by alumni, faculty, and other friends.",,,Mixed materials,Box,2,Folder,54,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Letter Of Acceptance Of Fernald�s Resignation,1908,,,,,,Letter of acceptance by Board of Trustees of Fernald�s resignation.,,,Mixed materials,Box,2,Folder,55,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,"Wills, Insurance Policies, Deeds, Etc.",1906-1929,,,,,,"Wills (1916 & 1929), insurance policies (1907), and deeds for Fernald.",,,Mixed materials,Box,2,Folder,56,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,In Memoriam,1916,,,,,,�The Maine Bulletin� article on Fernald�s death.,,,Mixed materials,Box,2,Folder,57,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Death Notices,1908-1916,,,,,,Various newspaper clippings containing tributes to Fernald following his resignation as president (1908) and death (1916).,,,Mixed materials,Box,2,Folder,58,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Omega (Publication) And Paper Describing The Origin Of Omega,1974,,,,,,"Omega Fact, Hopes, and Dreams (1974) publication by J.A. Pierce (1974) and paper by J.A. Pierce describing the Origin of Omega.",,,Mixed materials,Box,2,Folder,59,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,History Of The U.S. Book ,1850,,,,,,�The Child�s History of the United States� by Charles A. Goodrich.,,,Mixed materials,Box,2,Folder,60,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Bowdoin College Year Book,1861,,,,,,Bowdoin College Year Book ,,,Mixed materials,Box,2,Folder,61,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Dewey Classification And Index ,1876,,,,,,Dewey Classification and Index,,,Mixed materials,Box,2,Folder,62,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,A Dream Of The Woods,,,,,,,Folio containing leafs titled �A dream of the woods�.,,,Mixed materials,Box,3,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,,,Photographs,,,,,,,Photographs of Fernald.,,,Mixed materials,Box,3,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.004,Administrative Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.003,Records Of President Abram Winegardner Harris [Term 1893-1901],1889-1954,UA RG 0003.001.003.001,Correspondence,1889-1901,,"Correspondence Concerning War Enlistments, Etc.",1897-1899,,,,,,"Correspondence concerning Lieut. H. N. Royden application to the War Department and Harris� endorsement of Royden (1898-1899), details of a proposed organization of an army company of University of Maine students (1897-1899), establishment of engineering experiment substations includes correspondence between Harris and Governor Llewellyn Powers. ",,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.003,Records Of President Abram Winegardner Harris [Term 1893-1901],1889-1954,UA RG 0003.001.003.001,Correspondence,1889-1901,,Correspondence Between Pres. Harris And The Agriculture Department,1895-1899,,,,,,Correspondence on the subject of a dietary study carried at the Maine State College by the U.S. Department of Agriculture (1895) and Harris�s attendance and presentations at State of Maine Agricultural Department meetings (1896-1899).,,,Mixed materials,Box,1,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.003,Records Of President Abram Winegardner Harris [Term 1893-1901],1889-1954,UA RG 0003.001.003.001,Correspondence,1889-1901,,Correspondence Advertising And Magazine Renewals For The College,1895-1901,,,,,,"The Maine State College�s advert in the New England edition of Perry Mason Company�s The Youth�s Companion (1895, 1900 & 1901) and Orange Judd Company�s New England Homestead publication (1896-1897).",,,Mixed materials,Box,1,Folder,3,,,,,,,,,,,,,,
UA RG 0003.001.003,Records Of President Abram Winegardner Harris [Term 1893-1901],1889-1954,UA RG 0003.001.003.001,Correspondence,1889-1901,,Correspondence With H.H. Goodell,1899-1900,,,,,,Correspondence between Harris and Henry Hill Goodell (acting president of Massachusetts Agriculture College) regarding the Free Homestead Bill (1899-1900) and the sale of public lands.,,,Mixed materials,Box,1,Folder,4,,,,,,,,,,,,,,
UA RG 0003.001.003,Records Of President Abram Winegardner Harris [Term 1893-1901],1889-1954,UA RG 0003.001.003.001,Correspondence,1889-1901,,General Correspondence,1895-1901,,,,,,"Correspondence with faculty members, staff, and Maine State Government officials (1895-1901) includes discussions of establishing a forestry school (1889), a letter taking issue with the moral behavior of students (1889), and details of University of Maine checks being exempt from taxation (1900), the value of the Engineering plant (1900), and place of women and religion at the University of Maine (1900 & 1898).",,,Mixed materials,Box,1,Folder,5,,,,,,,,,,,,,,
UA RG 0003.001.003,Records Of President Abram Winegardner Harris [Term 1893-1901],1889-1954,UA RG 0003.001.003.002,Subject Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
